Main Port Name,Country Code,Latitude,Longitude
Havre De Grace,United States,39.533333,-76.08333299999998
Convent,United States,30.016667,-90.833333
Isleton,United States,38.166667,-121.6
Augusta,United States,44.316667,-69.766667
Beverly,United States,42.533333,-70.883333
Courtland,United States,38.333333,-121.566667
Port St Joe,United States,29.816667,-85.31666699999998
St Rose,United States,29.95,-90.316667
Port Aransas,United States,27.833333,-97.05
Port Ingleside,United States,27.816667,-97.183333
Swans Island,United States,44.133333,-68.45
Santa Cruz,United States,36.966667,-122.016667
Reserve,United States,30.05,-90.55
Point Richmond,United States,37.916667,-122.366667
Sorrento,United States,44.466667,-68.183333
St. James,United States,29.9792,-90.8275
Stockton,United States,37.95,-121.3
South Bristol,United States,43.866667,-69.55
Rio Vista,United States,38.15,-121.7
Thomaston,United States,44.066667,-69.183333
South Harpswell,United States,43.733333,-70.016667
Pismo Beach,United States,35.133333,-120.65
Point San Pablo,United States,37.966667,-122.433333
Southwest Harbor,United States,44.283333,-68.316667
Sewaren,United States,40.55,-74.25
Pinole Point,United States,38.016667,-122.366667
Southport,United States,41.133333,-73.283333
Weehawken,United States,40.766667,-74.016667
Rensselaer,United States,42.65,-73.75
Poughkeepsie,United States,41.7,-73.95
Yonkers,United States,40.933333,-73.9
Belfast,United States,44.416667,-69.0
Gulfport SI,United States,40.633333,-74.2
Port Richmond SI,United States,40.65,-74.13333299999998
Mariners Harbor SI,United States,40.633333,-74.166667
Fort Bragg,United States,39.45,-123.816667
Newport Beach,United States,33.616667,-117.9
El Segundo,United States,33.916667,-118.433333
Antioch,United States,38.016667,-121.8
Vinalhaven,United States,44.05,-68.833333
Port San Luis,United States,35.166667,-120.75
Slidell,United States,30.266667,-89.783333
Wilson Cove,United States,33.0,-118.55
Pittsburg,United States,38.033333,-121.883333
Wilmington,United States,39.733333,-75.54999999999998
Tiverton,United States,41.633333,-71.216667
South Amboy,United States,40.483333,-74.266667
Paulsboro,United States,39.85,-75.25
Port Jefferson,United States,40.95,-73.08333299999998
Stamford,United States,41.033333,-73.54999999999998
Troy,United States,42.733333,-73.7
Tompkinsville SI,United States,40.633333,-74.06666699999998
Stapleton SI,United States,40.633333,-74.06666699999998
Moss,United States,36.8,-121.783333
St Petersburg,United States,27.766667,-82.616667
Alexandria,United States,38.8,-77.033333
Essex,United States,41.35,-72.38333299999998
New Bedford,United States,41.633333,-70.916667
Bodega Bay,United States,38.333333,-123.05
Gladstone,United States,45.85,-87.016667
Escanaba,United States,45.766667,-87.04999999999998
Menominee,United States,45.095277778,-87.58944444399998
Marinette,United States,45.083333,-87.59999999999998
Oconto,United States,44.894444444,-87.829444444
Green Bay,United States,44.516667,-88.016667
Algoma,United States,44.6,-87.433333
Kewaunee,United States,44.466667,-87.5
Frankfort,United States,44.633333,-86.25
Leland,United States,45.016667,-85.766667
Harbor Springs,United States,45.433333,-84.983333
Mackinaw City,United States,45.783333,-84.716667
Benicia,United States,38.05,-122.15
Gaviota,United States,34.466667,-120.2
Los Angeles,United States,33.75,-118.25
Long Beach,United States,33.766667,-118.183333
Baytown,United States,29.733333,-95.016667
Jacksonville,United States,30.316667,-81.65
Fernandina Beach,United States,30.683333,-81.466667
Brunswick,United States,31.15,-81.5
Darien,United States,31.366667,-81.433333
Morehead City,United States,34.716667,-76.7
Alexandria Bay,United States,44.333333,-75.916667
Ellwood,United States,34.433333,-119.916667
Beaufort,United States,34.716667,-76.666667
Charlevoix,United States,45.316667,-85.266667
Mackinac Island,United States,45.85,-84.616667
Nahma,United States,45.833333,-86.666667
Manistique,United States,45.95,-86.25
Martinez,United States,38.033333,-122.133333
Cape Charles,United States,37.266667,-76.016667
Southport,United States,33.916667,-78.016667
St Ignace,United States,45.85,-84.716667
St. James Harbor,United States,45.733333,-85.516667
Port Arthur,United States,29.833333,-93.966667
Port Costa,United States,38.05,-122.183333
Traverse City,United States,44.766667,-85.616667
Port Inland,United States,45.966667,-85.866667
Oswego,United States,43.466667,-76.516667
Sabine Pass,United States,29.733333,-93.9
Princetown,United States,37.5,-122.483333
Palm Beach,United States,26.766667,-80.04999999999998
Petoskey,United States,45.366667,-84.966667
Redwood City,United States,37.533333,-122.2
Wilmington,United States,34.233333,-77.95
St Augustine,United States,29.9,-81.31666699999998
Sabine,United States,29.716667,-93.866667
Port Sulphur,United States,29.483333,-89.683333
Wrightsville,United States,34.216667,-77.81666699999998
Sturgeon Bay,United States,44.833333,-87.38333299999998
Swansboro,United States,34.683333,-77.13333299999998
Piney Point,United States,38.133333,-76.533333
Solomons Island,United States,38.316667,-76.45
Washington D.C.,United States,38.866667,-77.033333
Salisbury,United States,38.366667,-75.59999999999998
Honolulu,United States,21.3,-157.866667
Barber's Point,United States,21.316667,-158.116667
Kaunakakai,United States,21.083333,-157.033333
Lahaina,United States,20.866667,-156.666667
Kahului,United States,20.9,-156.466667
Kiholo,United States,19.866667,-155.95
Kauhako Bay,United States,19.383333,-155.9
Milolii,United States,19.183333,-155.9
Honuapo,United States,19.083333,-155.55
Hilo,United States,19.733333,-155.066667
Honokaa,United States,20.1,-155.466667
Hoquiam,United States,46.966667,-123.9
Newport,United States,41.5,-71.333333
Edgartown,United States,41.383333,-70.5
Falmouth,United States,41.55,-70.616667
Bangor,United States,44.8,-68.766667
Jonesport,United States,44.533333,-67.616667
Lubec,United States,44.866667,-66.983333
Kodiak,United States,57.783333,-152.4
Anchorage,United States,61.216667,-149.9
Nikiski,United States,60.683333,-151.4
Homer,United States,59.6,-151.416667
Cordova,United States,60.55,-145.766667
Knudson Cove,United States,55.466667,-131.8
Cherry Point,United States,48.866667,-122.75
Bellingham,United States,48.75,-122.5
Anacortes,United States,48.516667,-122.616667
Friday Harbor,United States,48.533333,-123.016667
Everett,United States,48.0,-122.216667
Mukilteo,United States,47.95,-122.3
Edwards Point,United States,47.8,-122.4
Olympia,United States,47.05,-122.9
Bremerton,United States,47.566667,-122.65
Neah Bay,United States,48.366667,-124.616667
La Push,United States,47.9,-124.633333
Aberdeen,United States,46.983333,-123.816667
Nahcotta,United States,46.5,-124.033333
Longview,United States,46.133333,-122.933333
Astoria,United States,46.2,-123.833333
Newport,United States,44.633333,-124.05
Bandon,United States,43.116667,-124.416667
Crescent City,United States,41.75,-124.2
Eureka,United States,40.8,-124.183333
Fields Landing,United States,40.716667,-124.216667
Grand Marais,United States,47.75,-90.333333
Duluth,United States,46.766667,-92.1
Bayfield,United States,46.8,-90.816667
Ashland,United States,46.6,-90.866667
Marquette,United States,46.533333,-87.38333299999998
Grand Marais,United States,46.683333,-85.966667
Kaukauna,United States,44.283333,-88.266667
Depere,United States,44.45,-88.06666699999998
Manitowoc,United States,44.092222222,-87.64833333299998
Milwaukee,United States,43.033333,-87.88333299999998
Kenosha,United States,42.583333,-87.81666699999998
Chicago,United States,41.883333,-87.59999999999998
Calumet Harbor,United States,41.733333,-87.516667
Indiana Harbor,United States,41.666667,-87.433333
Gary,United States,41.616667,-87.33333299999998
Michigan City,United States,41.733333,-86.9
Holland,United States,42.783333,-86.13333299999998
Grand Haven,United States,43.066667,-86.233333
Muskegon,United States,43.233333,-86.266667
Ludington,United States,43.95,-86.45
Manistee,United States,44.25,-86.31666699999998
Cheboygan,United States,45.65,-84.466667
Barrow,United States,71.283333,-156.783333
Deering,United States,66.083333,-162.733333
Nome,United States,64.5,-165.416667
Clarks Point,United States,58.85,-158.55
Constantine Harbor,United States,51.4,179.3
Adak Naval Air Station,United States,51.866667,-176.633333
Dutch Harbor,United States,53.9,-166.533333
King Cove,United States,55.05,-162.316667
Baralof Bay,United States,55.233333,-160.533333
Larsen Bay,United States,57.533333,-153.983333
Lazy Bay,United States,56.9,-154.25
Canaveral Harbor,United States,28.7,-80.616667
Beaufort,United States,32.433333,-80.666667
Charleston,United States,32.783333,-79.916667
Georgetown,United States,33.366667,-79.283333
New Bern,United States,35.1,-77.04999999999998
Bayboro,United States,35.15,-76.766667
Belhaven,United States,35.616667,-76.616667
Columbia,United States,35.916667,-76.25
Edenton,United States,36.05,-76.616667
Alpena,United States,45.066667,-83.416667
Au Sable,United States,44.4,-83.31666699999998
Alabaster,United States,44.183333,-83.54999999999998
Bay City,United States,43.6,-83.866667
Marine City,United States,42.716667,-82.5
Algonac,United States,42.616667,-82.516667
Detroit,United States,42.333333,-83.033333
Huron,United States,41.4,-82.54999999999998
Lorain,United States,41.466667,-82.183333
Ashtabula,United States,41.9,-80.79999999999998
Conneaut,United States,41.966667,-80.54999999999998
Erie,United States,42.15,-80.09999999999998
Dunkirk,United States,42.483333,-79.33333299999998
Buffalo,United States,42.883333,-78.88333299999998
Chaumont,United States,44.066667,-76.13333299999998
Kanatak,United States,57.566667,-156.033333
Munising,United States,46.416667,-86.65
Baraga,United States,46.783333,-88.483333
Bay City,United States,46.866667,-124.066667
Katalla,United States,60.2,-144.533333
Machias,United States,44.716667,-67.466667
Nantucket,United States,41.283333,-70.1
Nawiliwili Bay,United States,21.95,-159.35
Napoopoo,United States,19.483333,-155.933333
Mahukona,United States,20.183333,-155.9
Barbers Point Terminal,United States,21.266667,-158.1
Calcite,United States,45.416667,-83.783333
Bear Island,United States,58.45,-152.683333
Chignik,United States,56.3,-158.4
Ivanof Bay,United States,55.8,-159.466667
Cold Bay,United States,55.2,-162.7
Akutan Harbor,United States,54.133333,-165.8
Cannery Bay,United States,53.7,-166.75
Makushin,United States,53.766667,-166.983333
Kiska,United States,51.966667,177.55
Naknek,United States,58.716667,-157.016667
Koggiung,United States,58.966667,-156.916667
Ekuk,United States,58.816667,-158.566667
